"onderdeel","soort plugin","entityrequest","naam","service","classdefinitie","serviceaanroep","filenaam"
"CBM","entity","BulkBijRechtsopvolging","BulkBijRechtsopvolgingPlugin","BulkBijRechtsopvolgingService","public class BulkBijRechtsopvolgingPlugin : PluginEventHandler<BulkBijRechtsopvolging>, IPlugin","context.Resolve<BulkBijRechtsopvolgingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\BulkBijRechtsopvolgingPlugin.cs"
"CBM","entity","EconomischeEenheid","EconomischeEenheidPlugin","EconomischeEenheidService","public class EconomischeEenheidPlugin : PluginEventHandler<EconomischeEenheid>, IPlugin","context.Resolve<EconomischeEenheidService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\EconomischeEenheidPlugin.cs"
"CBM","entity","Rechtbankwijziging","RechtbankwijzigingPlugin","RechtbankwijzigingService","public class RechtbankwijzigingPlugin : PluginEventHandler<Rechtbankwijziging>, IPlugin","context.Resolve<RechtbankwijzigingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\RechtbankwijzigingPlugin.cs"
"CBM","entity","Uitvoerderwijziging","UitvoerderwijzigingPlugin","UitvoerderwijzigingService","public class UitvoerderwijzigingPlugin : PluginEventHandler<Uitvoerderwijziging>, IPlugin","context.Resolve<UitvoerderwijzigingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\UitvoerderwijzigingPlugin.cs"
"CBM","entity","CbmZaakafronding","ZaakafrondingPlugin","ZaakafrondingService","public class ZaakafrondingPlugin : PluginEventHandler<CbmZaakafronding>, IPlugin","context.Resolve<ZaakafrondingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\ZaakafrondingPlugin.cs"
"CBM","entity","Zaakbeloning","ZaakbeloningPlugin","ZaakbeloningValidator","public class ZaakbeloningPlugin : PluginEventHandler<Zaakbeloning>, IPlugin","context.Resolve<ZaakbeloningValidator>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\ZaakbeloningPlugin.cs"
"CBM","entity","Zaakinvoerbeloning","ZaakinvoerbeloningPlugin","ZaakinvoerbeloningValidator","public class ZaakinvoerbeloningPlugin : PluginEventHandler<Zaakinvoerbeloning>, IPlugin","context.Resolve<ZaakinvoerbeloningValidator>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\ZaakinvoerbeloningPlugin.cs"
"CBM","entity","CbmZaakinvoer","ZaakinvoerPlugin","ZaakinvoerService","public class ZaakinvoerPlugin : PluginEventHandler<CbmZaakinvoer>, IPlugin","context.Resolve<ZaakinvoerService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\ZaakinvoerPlugin.cs"
"CBM","entity","Zaakuitvoerder","ZaakuitvoerderPlugin","ZaakuitvoerderValidator","public class ZaakuitvoerderPlugin : PluginEventHandler<Zaakuitvoerder>, IPlugin","context.Resolve<ZaakuitvoerderValidator>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zaken\ZaakuitvoerderPlugin.cs"
"CBM","entity","Zittingsafspraak","ZittingsafspraakPlugin","ZittingsafspraakService","public class ZittingsafspraakPlugin : PluginEventHandler<Zittingsafspraak>, IPlugin","context.Resolve<ZittingsafspraakService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Zittingen\ZittingsafspraakPlugin.cs"
"Common","entity","Adres","AdresPlugin","AdresService","public class AdresPlugin : PluginEventHandler<Adres>, IPlugin","var service = context.Resolve<AdresService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\AdresPlugin.cs"
"Common","entity","Zittingsafspraak","AfspraakPlugin","Zittingsafspraak","public class AfspraakPlugin : PluginEventHandler<Zittingsafspraak>, IPlugin","var zittingsafspraak = ExtendedEntity.Create<Zittingsafspraak>(target, context.Resolve<ICrmReadContext>());","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\AfspraakPlugin.cs"
"Common","entity","ExternBericht","ExternBerichtPlugin","CbmExternBerichtService","public class ExternBerichtPlugin : PluginEventHandler<ExternBericht>, IPlugin","context.Resolve<CbmExternBerichtService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\ExternBerichtPlugin.cs"
"Common","action","GetNatuurlijkPersoonInfoByBsnRequest","GetNatuurlijkPersoonInfoByBsnActionPlugin","IBsnService","public class GetNatuurlijkPersoonInfoByBsnActionPlugin : ActionPluginEventHandler<GetNatuurlijkPersoonInfoByBsnRequest, GetNatuurlijkPersoonInfoByBsnResponse>, IPlugin","var bsnService = context.Resolve<IBsnService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\GetNatuurlijkPersoonInfoByBsnActionPlugin.cs"
"Common","action","GetPersoonIdByBsnRequest","GetPersoonIdByBsnActionPlugin","IBsnService","public class GetPersoonIdByBsnActionPlugin : ActionPluginEventHandler<GetPersoonIdByBsnRequest, GetPersoonIdByBsnResponse>, IPlugin","var bsnService = context.Resolve<IBsnService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\GetPersoonIdByBsnActionPlugin.cs"
"Common","entity","Griffierechtbedrag","GriffierechtBedragPlugin","GriffierechtBedragService","public class GriffierechtBedragPlugin : PluginEventHandler<Griffierechtbedrag>, IPlugin","context.Resolve<GriffierechtBedragService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\GriffierechtBedragPlugin.cs"
"Common","entity","HandelendOnderDeNaam","HodnPlugin","HodnService","public class HodnPlugin : PluginEventHandler<HandelendOnderDeNaam>, IPlugin","context.Resolve<HodnService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\HodnPlugin.cs"
"Common","entity","Task","InterneTaakPlugin","InterneTaakService","public class InterneTaakPlugin : PluginEventHandler<Task>, IPlugin","context.Resolve<InterneTaakService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\InterneTaakPlugin.cs"
"Common","entity","NatuurlijkPersoon","NatuurlijkPersoonPlugin","NatuurlijkPersoonService","public class NatuurlijkPersoonPlugin : PluginEventHandler<NatuurlijkPersoon>, IPlugin","context.Resolve<NatuurlijkPersoonService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\NatuurlijkPersoonPlugin.cs"
"Common","entity","Onderneming","OndernemingPlugin","OndernemingService","public class OndernemingPlugin : PluginEventHandler<Onderneming>, IPlugin","context.Resolve<OndernemingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\OndernemingPlugin.cs"
"Common","entity","Opmerking","OpmerkingPlugin","OpmerkingService","public class OpmerkingPlugin : PluginEventHandler<Opmerking>, IPlugin","context.Resolve<OpmerkingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\OpmerkingPlugin.cs"
"Common","entity","Telefoongesprek","TelefoongesprekPlugin","TelefoongesprekService","public class TelefoongesprekPlugin : PluginEventHandler<Telefoongesprek>, IPlugin","context.Resolve<TelefoongesprekService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\TelefoongesprekPlugin.cs"
"Common","action","UpdateNatuurlijkPersoonRequest","UpdateNatuurlijkPersoonActionPlugin","BsnService","public class UpdateNatuurlijkPersoonActionPlugin : ActionPluginEventHandler<UpdateNatuurlijkPersoonRequest, UpdateNatuurlijkPersoonResponse>, IPlugin","var contact = context.Resolve<BsnService>().UpdateContact(persoon, out _);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\UpdateNatuurlijkPersoonActionPlugin.cs"
"Common","action","UpdateOndernemingRequest","UpdateOndernemingActionPlugin","IKvkService","public class UpdateOndernemingActionPlugin : ActionPluginEventHandler<UpdateOndernemingRequest, UpdateOndernemingResponse>, IPlugin","var kvkService = context.Resolve<IKvkService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\UpdateOndernemingActionPlugin.cs"
"Common","entity","WerktBij","WerkrelatiePlugin","WerkrelatieService","public class WerkrelatiePlugin : PluginEventHandler<WerktBij>, IPlugin","context.Resolve<WerkrelatieService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\WerkrelatiePlugin.cs"
"Common","entity","Zitting","ZittingPlugin","ZittingService","public class ZittingPlugin : PluginEventHandler<Zitting>, IPlugin","context.Resolve<ZittingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\ZittingPlugin.cs"
"Common","entity","spir_document","DocumentPlugin","IDocumentenService","public class DocumentPlugin : PluginEventHandler<spir_document>, IPlugin","var documentenService = context.Resolve<IDocumentenService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Common\Documenten\DocumentPlugin.cs"
"Insolventie","entity","Opdracht","OpdrachtPlugin","OpdrachtService","public class OpdrachtPlugin : PluginEventHandler<Opdracht>, IPlugin","context.Resolve<OpdrachtService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\OpdrachtPlugin.cs"
"Insolventie","entity","InsRechtbankwijziging","RechtbankwijzigingPlugin","RechtbankwijzigingService","public class RechtbankwijzigingPlugin : PluginEventHandler<InsRechtbankwijziging>, IPlugin","context.Resolve<RechtbankwijzigingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Opdrachten\RechtbankwijzigingPlugin.cs"
"Insolventie","entity","Pauzemoment","PauzemomentPlugin","PauzemomentService","public class PauzemomentPlugin : PluginEventHandler<Pauzemoment>, IPlugin","context.Resolve<PauzemomentService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Pauzemomenten\PauzemomentPlugin.cs"
"Insolventie","entity","Publicatie","PublicatiePlugin","PublicatieService","public class PublicatiePlugin : PluginEventHandler<Publicatie>, IPlugin","context.Resolve<PublicatieService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Publicaties\PublicatiePlugin.cs"
"Insolventie","action","GenereerRapportRequest","GenereerRapportActionPlugin",,"public class GenereerRapportActionPlugin : ActionPluginEventHandler<GenereerRapportRequest, GenereerRapportResponse>, IPlugin",,"C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Rapporten\GenereerRapportActionPlugin.cs"
"Insolventie","entity","RechterBuitenToezicht","RechterBuitenToezichtPlugin","RechterBuitenToezichtService","public class RechterBuitenToezichtPlugin : PluginEventHandler<RechterBuitenToezicht>, IPlugin","context.Resolve<RechterBuitenToezichtService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Rechter\RechterBuitenToezichtPlugin.cs"
"Insolventie","entity","BestedeUrenPersoon","BestedeUrenPersoonPlugin","BestedeUrenPersoonService","public class BestedeUrenPersoonPlugin : PluginEventHandler<BestedeUrenPersoon>, IPlugin","context.Resolve<BestedeUrenPersoonService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Uitvoerders\BestedeUrenPersoonPlugin.cs"
"Insolventie","action","UpdateAdvocaatRequest","UpdateAdvocaatActionPlugin","AdvocaatService","public class UpdateAdvocaatActionPlugin : ActionPluginEventHandler<UpdateAdvocaatRequest, UpdateAdvocaatResponse>, IPlugin","ContactId = context.Resolve<AdvocaatService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Uitvoerders\UpdateAdvocaatActionPlugin.cs"
"Insolventie","action","UpdateAdvocaatKantoorRequest","UpdateAdvocaatKantoorActionPlugin","AdvocaatKantoorService","public class UpdateAdvocaatKantoorActionPlugin : ActionPluginEventHandler<UpdateAdvocaatKantoorRequest, UpdateAdvocaatKantoorResponse>, IPlugin","AccountId = context.Resolve<AdvocaatKantoorService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Uitvoerders\UpdateAdvocaatKantoorActionPlugin.cs"
"Insolventie","action","UpdateNatuurlijkPersoonUitLatRequest","UpdateNatuurlijkPersoonUitLatActionPlugin","AdvocaatService","public class UpdateNatuurlijkPersoonUitLatActionPlugin : ActionPluginEventHandler<UpdateNatuurlijkPersoonUitLatRequest, UpdateNatuurlijkPersoonUitLatResponse>, IPlugin","var service = context.Resolve<AdvocaatService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Uitvoerders\UpdateNatuurlijkPersoonUitLatActionPlugin.cs"
"Insolventie","entity","InsZaakuitvoerder","ZaakUitvoerderPlugin","UitvoerderService","public class ZaakUitvoerderPlugin : PluginEventHandler<InsZaakuitvoerder>, IPlugin","context.Resolve<UitvoerderService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Uitvoerders\ZaakUitvoerderPlugin.cs"
"Insolventie","action","VerslagTonenRequest","VerslagTonenActionPlugin",,"public class VerslagTonenActionPlugin : ActionPluginEventHandler<VerslagTonenRequest, VerslagTonenResponse>, IPlugin",,"C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verslagen\VerslagTonenActionPlugin.cs"
"Insolventie","action","WsnpEindverslagAanmakenRequest","WsnpEindverslagAanmakenActionPlugin","WsnpEindverslagAanmakenService","public class WsnpEindverslagAanmakenActionPlugin : ActionPluginEventHandler<WsnpEindverslagAanmakenRequest, WsnpEindverslagAanmakenResponse>, IPlugin","var aanmaakService = context.Resolve<WsnpEindverslagAanmakenService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verslagen\WsnpEindverslagAanmakenActionPlugin.cs"
"Insolventie","action","WsnpEindverslagAnnulerenRequest","WsnpEindverslagAnnulerenActionPlugin","WsnpLooptijdService","public class WsnpEindverslagAnnulerenActionPlugin : ActionPluginEventHandler<WsnpEindverslagAnnulerenRequest, WsnpEindverslagAnnulerenResponse>, IPlugin","var looptijdService = context.Resolve<WsnpLooptijdService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verslagen\WsnpEindverslagAnnulerenActionPlugin.cs"
"Insolventie","entity","InsGriffierecht","GriffierechtPlugin","GriffierechtService","public class GriffierechtPlugin : PluginEventHandler<InsGriffierecht>, IPlugin","context.Resolve<GriffierechtService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoeken\GriffierechtPlugin.cs"
"Insolventie","entity","SalarisverzoekUren","SalarisverzoekUrenPlugin","SalarisverzoekUrenService","public class SalarisverzoekUrenPlugin : PluginEventHandler<SalarisverzoekUren>, IPlugin","context.Resolve<SalarisverzoekUrenService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoeken\SalarisverzoekUrenPlugin.cs"
"Insolventie","entity","SalarisverzoekVerschotten","SalarisverzoekVerschottenPlugin","SalarisverzoekVerschottenService","public class SalarisverzoekVerschottenPlugin : PluginEventHandler<SalarisverzoekVerschotten>, IPlugin","context.Resolve<SalarisverzoekVerschottenService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoeken\SalarisverzoekVerschottenPlugin.cs"
"Insolventie","entity","SalarisverzoekVoorschotten","SalarisverzoekVoorschottenPlugin","SalarisverzoekVoorschottenService","public class SalarisverzoekVoorschottenPlugin : PluginEventHandler<SalarisverzoekVoorschotten>, IPlugin","context.Resolve<SalarisverzoekVoorschottenService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoeken\SalarisverzoekVoorschottenPlugin.cs"
"Insolventie","action","VerzoekBehandelenRequest","VerzoekBehandelenActionPlugin","InitiatingUserReference","public class VerzoekBehandelenActionPlugin : ActionPluginEventHandler<VerzoekBehandelenRequest, VerzoekBehandelenResponse>, IPlugin","var behandelaarId = context.Resolve<InitiatingUserReference>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoeken\VerzoekBehandelenActionPlugin.cs"
"Insolventie","action","VerzoekTonenRequest","VerzoekTonenActionPlugin",,"public class VerzoekTonenActionPlugin : ActionPluginEventHandler<VerzoekTonenRequest, VerzoekTonenResponse>, IPlugin",,"C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoeken\VerzoekTonenActionPlugin.cs"
"Insolventie","entity","VerzoekExArt69Fw","VerzoekExArt69FwPlugin","VerzoekExArt69FwService","public class VerzoekExArt69FwPlugin : PluginEventHandler<VerzoekExArt69Fw>, IPlugin","context.Resolve<VerzoekExArt69FwService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\VerzoekenExArt69Fw\VerzoekExArt69FwPlugin.cs"
"Insolventie","entity","InsVerzoekschrift","InsVerzoekschriftPlugin","VerzoekschriftService","public class InsVerzoekschriftPlugin : PluginEventHandler<InsVerzoekschrift>, IPlugin","context.Resolve<VerzoekschriftService>().HandleUpdate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\InsVerzoekschriftPlugin.cs"
"Insolventie","action","InsVerzoekschriftArrestRegistrerenRequest","VerzoekschriftArrestRegistrerenActionPlugin","VerzoekschriftArrestService","public class VerzoekschriftArrestRegistrerenActionPlugin : ActionPluginEventHandler<InsVerzoekschriftArrestRegistrerenRequest, InsVerzoekschriftArrestRegistrerenResponse>, IPlugin","var verzoekschriftArrestService = context.Resolve<VerzoekschriftArrestService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftArrestRegistrerenActionPlugin.cs"
"Insolventie","action","InsVerzoekschriftBehandelenRequest","VerzoekschriftBehandelenActionPlugin","VerzoekschriftBehandelService","public class VerzoekschriftBehandelenActionPlugin : ActionPluginEventHandler<InsVerzoekschriftBehandelenRequest, InsVerzoekschriftBehandelenResponse>, IPlugin","var service = context.Resolve<VerzoekschriftBehandelService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftBehandelenActionPlugin.cs"
"Insolventie","action","InsVerzoekschriftBehandeloptiesRequest","VerzoekschriftBehandeloptiesActionPlugin",,"public class VerzoekschriftBehandeloptiesActionPlugin : ActionPluginEventHandler<InsVerzoekschriftBehandeloptiesRequest, InsVerzoekschriftBehandeloptiesResponse>, IPlugin",,"C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftBehandeloptiesActionPlugin.cs"
"Insolventie","action","InsVerzoekschriftDeactiverenRequest","VerzoekschriftDeactiverenActionPlugin","VerzoekschriftDeactivatieService","public class VerzoekschriftDeactiverenActionPlugin : ActionPluginEventHandler<InsVerzoekschriftDeactiverenRequest, InsVerzoekschriftDeactiverenResponse>, IPlugin","var verzoekschriftDeactivatieService = context.Resolve<VerzoekschriftDeactivatieService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftDeactiverenActionPlugin.cs"
"Insolventie","action","VerzoekschriftIndienenRequest","VerzoekschriftIndienenActionPlugin","IVerzoekschriftIndienService","public class VerzoekschriftIndienenActionPlugin : ActionPluginEventHandler<VerzoekschriftIndienenRequest, VerzoekschriftIndienenResponse>, IPlugin","var service = context.Resolve<IVerzoekschriftIndienService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftIndienenActionPlugin.cs"
"Insolventie","action","VerzoekschriftTonenRequest","VerzoekschriftTonenActionPlugin",,"public class VerzoekschriftTonenActionPlugin : ActionPluginEventHandler<VerzoekschriftTonenRequest, VerzoekschriftTonenResponse>, IPlugin",,"C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftTonenActionPlugin.cs"
"Insolventie","action","VerzoekschriftUitspraakAanmakenRequest","VerzoekschriftUitspraakAanmakenActionPlugin","SchrijfhulpService","public class VerzoekschriftUitspraakAanmakenActionPlugin : ActionPluginEventHandler<VerzoekschriftUitspraakAanmakenRequest, VerzoekschriftUitspraakAanmakenResponse>, IPlugin","var service = context.Resolve<SchrijfhulpService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftUitspraakAanmakenActionPlugin.cs"
"Insolventie","action","VerzoekschriftUitspraakAanmakenOptiesRequest","VerzoekschriftUitspraakAanmakenOptiesActionPlugin","SchrijfhulpService","public class VerzoekschriftUitspraakAanmakenOptiesActionPlugin : ActionPluginEventHandler<VerzoekschriftUitspraakAanmakenOptiesRequest, VerzoekschriftUitspraakAanmakenOptiesResponse>, IPlugin","var service = context.Resolve<SchrijfhulpService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Verzoekschriften\VerzoekschriftUitspraakAanmakenOptiesActionPlugin.cs"
