"onderdeel","soort plugin","entityrequest","naam","service","classdefinitie","serviceaanroep","filenaam"
"Insolventie","action","ZaakOntnemenSchoneLeiRequest","ZaakOntnemenSchoneLeiActionPlugin","ZaakService","public class ZaakOntnemenSchoneLeiActionPlugin : ActionPluginEventHandler<ZaakOntnemenSchoneLeiRequest, ZaakOntnemenSchoneLeiResponse>, IPlugin","var zaakService = context.Resolve<ZaakService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zaken\ZaakOntnemenSchoneLeiActionPlugin.cs"
"Insolventie","entity","Zaak","ZaakPlugin","ZaakService","public class ZaakPlugin : PluginEventHandler<Zaak>, IPlugin","context.Resolve<ZaakService>().PrepareUpdate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zaken\ZaakPlugin.cs"
"Insolventie","action","ZaakSearchRequest","ZaakSearchActionPlugin","SettingService","public class ZaakSearchActionPlugin : ActionPluginEventHandler<ZaakSearchRequest, ZaakSearchResponse>, IPlugin","var searchUrl = context.Resolve<SettingService>().GetSearchUrl();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zaken\ZaakSearchActionPlugin.cs"
"Insolventie","action","WijzigVolgnummerRequest","ZaakWijzigVolgnummerActionPlugin","ZaakWijzigVolgnummerService","public class ZaakWijzigVolgnummerActionPlugin : ActionPluginEventHandler<WijzigVolgnummerRequest, WijzigVolgnummerResponse>, IPlugin","context.Resolve<ZaakWijzigVolgnummerService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zaken\ZaakWijzigVolgnummerActionPlugin.cs"
"Insolventie","entity","InsZittingbelanghebbendeDerde","ZittingBelanghebbendeDerdePlugin","ZittingBelanghebbendeDerdeService","public class ZittingBelanghebbendeDerdePlugin : PluginEventHandler<InsZittingbelanghebbendeDerde>, IPlugin","context.Resolve<ZittingBelanghebbendeDerdeService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zittingen\ZittingBelanghebbendeDerdePlugin.cs"
"Insolventie","action","ZittingBelanghebbendenOptiesRequest","ZittingBelanghebbendenOptiesActionPlugin","ZittingBelanghebbendeDerdeService","public class ZittingBelanghebbendenOptiesActionPlugin : ActionPluginEventHandler<ZittingBelanghebbendenOptiesRequest, ZittingBelanghebbendenOptiesResponse>, IPlugin","var service = context.Resolve<ZittingBelanghebbendeDerdeService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zittingen\ZittingBelanghebbendenOptiesActionPlugin.cs"
"Insolventie","action","ZittingBelanghebbendenToevoegenRequest","ZittingBelanghebbendenToevoegenActionPlugin","ZittingBelanghebbendeDerdeService","public class ZittingBelanghebbendenToevoegenActionPlugin : ActionPluginEventHandler<ZittingBelanghebbendenToevoegenRequest, ZittingBelanghebbendenToevoegenResponse>, IPlugin","var service = context.Resolve<ZittingBelanghebbendeDerdeService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zittingen\ZittingBelanghebbendenToevoegenActionPlugin.cs"
"Insolventie","action","ZittingOproepbriefAanmakenRequest","ZittingOproepbriefAanmakenActionPlugin","SchrijfhulpService","public class ZittingOproepbriefAanmakenActionPlugin : ActionPluginEventHandler<ZittingOproepbriefAanmakenRequest, ZittingOproepbriefAanmakenResponse>, IPlugin","var zittingOproepbriefService = context.Resolve<SchrijfhulpService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zittingen\ZittingOproepbriefAanmakenActionPlugin.cs"
"Insolventie","action","ZittingOproepbriefAanmakenOptiesRequest","ZittingOproepbriefAanmakenOptiesActionPlugin","SchrijfhulpService","public class ZittingOproepbriefAanmakenOptiesActionPlugin : ActionPluginEventHandler<ZittingOproepbriefAanmakenOptiesRequest, ZittingOproepbriefAanmakenOptiesResponse>, IPlugin","var service = context.Resolve<SchrijfhulpService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Insolventie\Zittingen\ZittingOproepbriefAanmakenOptiesActionPlugin.cs"
"LKB","entity","LkbBericht","LkbBerichtPlugin","LkbBerichtService","public class LkbBerichtPlugin : PluginEventHandler<LkbBericht>, IPlugin","context.Resolve<LkbBerichtService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbBerichtPlugin.cs"
"LKB","entity","LkbDossier","LkbDossierPlugin","LkbDossierService","public class LkbDossierPlugin : PluginEventHandler<LkbDossier>, IPlugin","context.Resolve<LkbDossierService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbDossierPlugin.cs"
"LKB","entity","LkbMedewerker","LkbMedewerkerPlugin","LkbMedewerkerService","public class LkbMedewerkerPlugin : PluginEventHandler<LkbMedewerker>, IPlugin","context.Resolve<LkbMedewerkerService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbMedewerkerPlugin.cs"
"LKB","entity","LkbOnderneming","LkbOndernemingPlugin","LkbOndernemingService","public class LkbOndernemingPlugin : PluginEventHandler<LkbOnderneming>, IPlugin","context.Resolve<LkbOndernemingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbOndernemingPlugin.cs"
"LKB","entity","LkbPersoon","LkbPersoonPlugin","LkbPersoonValidator","public class LkbPersoonPlugin : PluginEventHandler<LkbPersoon>, IPlugin","context.Resolve<LkbPersoonValidator>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbPersoonPlugin.cs"
"LKB","entity","LkbTaak","LkbTaakPlugin","LkbTaakService","public class LkbTaakPlugin : PluginEventHandler<LkbTaak>, IPlugin","context.Resolve<LkbTaakService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbTaakPlugin.cs"
"LKB","entity","LkbUitvoerderregisterVermelding","LkbUitvoerderPlugin","LkbUitvoerderService","public class LkbUitvoerderPlugin : PluginEventHandler<LkbUitvoerderregisterVermelding>, IPlugin","context.Resolve<LkbUitvoerderService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbUitvoerderPlugin.cs"
"LKB","entity","LkbUitvoerdertaak","LkbUitvoerdertaakPlugin","LkbUitvoerdertaakService","public class LkbUitvoerdertaakPlugin : PluginEventHandler<LkbUitvoerdertaak>, IPlugin","context.Resolve<LkbUitvoerdertaakService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbUitvoerdertaakPlugin.cs"
"LKB","entity","LkbVerzoek","LkbVerzoekPlugin","LkbVerzoekService","public class LkbVerzoekPlugin : PluginEventHandler<LkbVerzoek>, IPlugin","context.Resolve<LkbVerzoekService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbVerzoekPlugin.cs"
"LKB","entity","LkbWaarneming","LkbWaarnemingPlugin","LkbWaarnemingService","public class LkbWaarnemingPlugin : PluginEventHandler<LkbWaarneming>, IPlugin","context.Resolve<LkbWaarnemingService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Lkb\LkbWaarnemingPlugin.cs"
"CBM","action","VerwijderenCbmInstellingsverzoekRequest","CbmInstellingsverzoek",,"public class CbmInstellingsverzoek : ActionPluginEventHandler<VerwijderenCbmInstellingsverzoekRequest, VerwijderenCbmInstellingsverzoekResponse>, IPlugin",,"C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.TestSupportPlugins\Verwijderen\CbmInstellingsverzoek.cs"
